,No.,Code,Name,Prev.,Close,Change,%
0,1.0,AALI,Astra Agro Lestari Tbk.,9375,9125,-250,-2.67%
1,2.0,ABBA,Mahaka Media Tbk.,210,216,6,2.86%
2,3.0,ABBA-R,Right VI Mahaka Media Tbk,0,0,0,0.00%
3,4.0,ABDA,Asuransi Bina Dana Arta Tbk.,6150,0,0,0.00%
4,5.0,ABMM,ABM Investama Tbk.,2350,2240,-110,-4.68%
5,6.0,ACES,Ace Hardware Indonesia Tbk.,770,750,-20,-2.60%
6,7.0,ACST,Acset Indonusa Tbk.,159,158,-1,-0.63%
7,8.0,ACST-R,Right II ACSET Indonusa Tbk,0,0,0,0.00%
8,9.0,ADCP,Adhi Commuter Properti Tbk.,75,76,1,1.33%
9,10.0,ADES,Akasha Wira International Tbk.,6325,6250,-75,-1.19%
10,11.0,ADHI,Adhi Karya (Persero) Tbk.,720,720,0,0.00%
11,12.0,ADMF,Adira Dinamika Multi Finance Tbk.,7975,7950,-25,-0.31%
12,13.0,ADMG,Polychem Indonesia Tbk,170,172,2,1.18%
13,14.0,ADMR,Adaro Minerals Indonesia Tbk.,1665,1600,-65,-3.90%
14,15.0,ADRO,Adaro Energy Indonesia Tbk.,2920,2930,10,0.34%
15,16.0,AGAR,Asia Sejahtera Mina Tbk.,286,296,10,3.50%
16,17.0,AGII,Aneka Gas Industri Tbk.,2180,2190,10,0.46%
17,18.0,AGRO,Bank Raya Indonesia Tbk.,785,735,-50,-6.37%
18,19.0,AGRO-R,Right IV Bank Rakyat Indonesia Agroniaga,0,0,0,0.00%
19,20.0,AGRS,Bank IBK Indonesia Tbk.,123,118,-5,-4.07%
20,21.0,AGRS-R,Right III Bank IBK Indonesia Tbk,0,0,0,0.00%
21,22.0,AHAP,Asuransi Harta Aman Pratama Tbk.,61,59,-2,-3.28%
22,23.0,AIMS,Akbar Indo Makmur Stimec Tbk,250,250,0,0.00%
23,24.0,AIMS-W,Warrant Seri I Akbar Indo M.S.,0,0,0,0.00%
24,25.0,AISA,FKS Food Sejahtera Tbk.,142,141,-1,-0.70%
25,26.0,AISA-R,Right II Tiga Pilar Sejahtera Food Tbk,0,0,0,0.00%
26,27.0,AKKU,Anugerah Kagum Karya Utama Tbk.,50,50,0,0.00%
27,28.0,AKPI,Argha Karya Prima Industry Tbk.,1380,1395,15,1.09%
28,29.0,AKRA,AKR Corporindo Tbk.,1065,1050,-15,-1.41%
29,30.0,AKSI,Mineral Sumberdaya Mandiri Tbk.,274,272,-2,-0.73%
30,31.0,ALDO,Alkindo Naratama Tbk.,845,850,5,0.59%
31,32.0,ALDO-R,Right II Alkindo Naratama Tbk,0,0,0,0.00%
32,33.0,ALDO-W,Waran Seri I Alkindo Naratama Tbk.,202,182,-20,-9.90%
33,34.0,ALKA,Alakasa Industrindo Tbk,286,290,4,1.40%
34,35.0,ALMI,Alumindo Light Metal Industry Tbk.,302,294,-8,-2.65%
35,36.0,ALTO,Tri Banyan Tirta Tbk.,214,200,-14,-6.54%
36,37.0,ALTO-W,Waran Seri I Tri Banyan Tirta Tbk,0,0,0,0.00%
37,38.0,AMAG,Asuransi Multi Artha Guna Tbk.,382,366,-16,-4.19%
38,39.0,AMAN,Makmur Berkah Amanda Tbk.,510,510,0,0.00%
39,40.0,AMAR,Bank Amar Indonesia Tbk.,302,302,0,0.00%
40,41.0,AMAR-R,Right I Bank Amar Indonesia Tbk,0,0,0,0.00%
41,42.0,AMFG,Asahimas Flat Glass Tbk.,6375,6250,-125,-1.96%
42,43.0,AMIN,Ateliers Mecaniques D Indonesie Tbk.,121,125,4,3.31%
43,44.0,AMOR,Ashmore Asset Management Indonesia Tbk.,1360,1320,-40,-2.94%
44,45.0,AMRT,Sumber Alfaria Trijaya Tbk.,1930,1935,5,0.26%
45,46.0,ANDI,Andira Agro Tbk.,50,50,0,0.00%
46,47.0,ANJT,Austindo Nusantara Jaya Tbk.,820,805,-15,-1.83%
47,48.0,ANTA-W,Warrant Seri I Anta Express Tr,0,0,0,0.00%
48,49.0,ANTM,Aneka Tambang Tbk.,1740,1720,-20,-1.15%
49,50.0,APEX,Apexindo Pratama Duta Tbk.,326,320,-6,-1.84%
50,51.0,APIC,Pacific Strategic Financial Tbk.,1040,1030,-10,-0.96%
51,52.0,APIC-R,Right I Pacific Strategic Financial Tbk,0,0,0,0.00%
52,53.0,APII,Arita Prima Indonesia Tbk.,190,192,2,1.05%
53,54.0,APLI,Asiaplast Industries Tbk.,200,195,-5,-2.50%
54,55.0,APLN,Agung Podomoro Land Tbk.,109,109,0,0.00%
55,56.0,APLN-R,Right I Agung Podomoro Land Tbk,0,0,0,0.00%
56,57.0,APOL-W,Waran Seri I Arpeni Pratama Ocean Line,0,0,0,0.00%
57,58.0,APOL-W2,Waran Seri II Arpeni Pratama Ocean Line,0,0,0,0.00%
58,59.0,ARCI,Archi Indonesia Tbk.,316,308,-8,-2.53%
59,60.0,ARGO,Argo Pantes Tbk,1170,1195,25,2.14%
60,61.0,ARII,Atlas Resources Tbk.,218,212,-6,-2.75%
61,62.0,ARKA,Arkha Jayanti Persada Tbk.,50,50,0,0.00%
62,63.0,ARKO,Arkora Hydro Tbk.,298,306,8,2.68%
63,64.0,ARMY,Armidian Karyatama Tbk.,50,0,0,0.00%
64,65.0,ARNA,Arwana Citramulia Tbk.,965,960,-5,-0.52%
65,66.0,ARTA,Arthavest Tbk,2310,2340,30,1.30%
66,67.0,ARTA-W,Waran Seri I Arthavest Tbk,0,0,0,0.00%
67,68.0,ARTI,Ratu Prabu Energi Tbk,50,0,0,0.00%
68,69.0,ARTO,Bank Jago Tbk.,8725,9200,475,5.44%
69,70.0,ASBI,Asuransi Bintang Tbk.,298,302,4,1.34%
70,71.0,ASDM,Asuransi Dayin Mitra Tbk.,965,950,-15,-1.55%
71,72.0,ASGR,Astra Graphia Tbk.,900,885,-15,-1.67%
72,73.0,ASHA,Cilacap Samudera Fishing Industry Tbk.,224,248,24,10.71%
73,74.0,ASII,Astra International Tbk.,6100,5825,-275,-4.51%
74,75.0,ASJT,Asuransi Jasa Tania Tbk.,131,131,0,0.00%
75,76.0,ASJT-R,Right I Asuransi Jasa Tania Tbk,0,0,0,0.00%
76,77.0,ASLC,Autopedia Sukses Lestari Tbk.,138,136,-2,-1.45%
77,78.0,ASMI,Asuransi Maximus Graha Persada Tbk.,127,128,1,0.79%
78,79.0,ASPI,Andalan Sakti Primaindo Tbk.,89,86,-3,-3.37%
79,80.0,ASPI-W,Waran Seri I Andalan Sakti Primaindo Tbk.,16,17,1,6.25%
80,81.0,ASRI,Alam Sutera Realty Tbk.,160,160,0,0.00%
81,82.0,ASRM,Asuransi Ramayana Tbk.,1585,1585,0,0.00%
82,83.0,ASSA,Adi Sarana Armada Tbk.,1690,1625,-65,-3.85%
83,84.0,ASSA-R,Right I Adi Sarana Armada Tbk,0,0,0,0.00%
84,85.0,ATAP,Trimitra Prawara Goldland Tbk.,124,120,-4,-3.23%
85,86.0,ATIC,Anabatic Technologies Tbk.,384,372,-12,-3.13%
86,87.0,AUTO,Astra Otoparts Tbk.,1120,1120,0,0.00%
87,88.0,AVIA,Avia Avian Tbk.,930,950,20,2.15%
88,89.0,AYLS,Agro Yasa Lestari Tbk.,165,165,0,0.00%
89,90.0,BABP,Bank MNC Internasional Tbk.,126,123,-3,-2.38%
90,91.0,BABP-R,Right IV Bank MNC Internasional Tbk,0,0,0,0.00%
91,92.0,BABP-W3,Waran Seri IV Bank MNC Internasional Tbk.,74,73,-1,-1.35%
92,93.0,BABP-W4,Waran Seri V Bank MNC Internasional Tbk.,86,78,-8,-9.30%
93,94.0,BACA,Bank Capital Indonesia Tbk.,162,151,-11,-6.79%
94,95.0,BACA-W,Waran Seri III Bank Capital Indonesia Tb,0,0,0,0.00%
95,96.0,BACA-W2,Waran Seri III Bank Capital Indonesia Tbk.,105,121,16,15.24%
96,97.0,BAJA,Saranacentral Bajatama Tbk.,168,171,3,1.79%
97,98.0,BALI,Bali Towerindo Sentra Tbk.,825,820,-5,-0.61%
98,99.0,BANK,Bank Aladin Syariah Tbk.,1925,1925,0,0.00%
99,100.0,BANK-R,Right I Bank Aladin Syariah Tbk,0,0,0,0.00%
100,101.0,BANK-W,Waran Seri I Bank Aladin Syariah Tbk.,1505,0,0,0.00%
101,102.0,BAPA,Bekasi Asri Pemula Tbk.,98,98,0,0.00%
102,103.0,BAPI,Bhakti Agung Propertindo Tbk.,50,50,0,0.00%
103,104.0,BAPI-W,Waran Seri I Bhakti Agung Propertindo Tbk.,2,2,0,0.00%
104,105.0,BATA,Sepatu Bata Tbk.,520,500,-20,-3.85%
105,106.0,BAUT,Mitra Angkasa Sejahtera Tbk.,50,50,0,0.00%
106,107.0,BAUT-W,Waran Seri I Mitra Angkasa Sejahtera Tbk.,8,7,-1,-12.50%
107,108.0,BAYU,Bayu Buana Tbk,1140,1140,0,0.00%
108,109.0,BBCA,Bank Central Asia Tbk.,7175,7000,-175,-2.44%
109,110.0,BBHI,Allo Bank Indonesia Tbk.,3570,3430,-140,-3.92%
110,111.0,BBHI-R,Right III Allo Bank Indonesia Tbk,0,0,0,0.00%
111,112.0,BBKP,Bank KB Bukopin Tbk.,202,199,-3,-1.49%
112,113.0,BBKP-R,Right VI Bank KB Bukopin Tbk,0,0,0,0.00%
113,114.0,BBLD,Buana Finance Tbk.,424,410,-14,-3.30%
114,115.0,BBLD-W,Waran Buana Finance Tbk,0,0,0,0.00%
115,116.0,BBMD,Bank Mestika Dharma Tbk.,1980,2120,140,7.07%
116,117.0,BBNI,Bank Negara Indonesia (Persero) Tbk.,7450,7225,-225,-3.02%
117,118.0,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,4110,4060,-50,-1.22%
118,119.0,BBRI-R,Right I Bank Rakyat Indonesia (Persero),0,0,0,0.00%
119,120.0,BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,50,50,0,0.00%
120,121.0,BBSI,Bank Bisnis Internasional Tbk.,4000,4020,20,0.50%
121,122.0,BBSI-R,Right I Bank Bisnis Internasional Tbk,0,0,0,0.00%
122,123.0,BBSS,Bumi Benowo Sukses Sejahtera Tbk.,56,59,3,5.36%
123,124.0,BBSS-W,Waran Seri I Bumi Benowo Sukses Sejahter,0,0,0,0.00%
124,125.0,BBTN,Bank Tabungan Negara (Persero) Tbk.,1430,1410,-20,-1.40%
125,126.0,BBYB,Bank Neo Commerce Tbk.,1230,1170,-60,-4.88%
126,127.0,BBYB-R,Right V Bank NEO Commerce Tbk,0,0,0,0.00%
127,128.0,BBYB-W,Waran Seri I Bank Yudha Bhakti Tbk,0,0,0,0.00%
128,129.0,BBYD,Bank Yudha Bhakti Tbk,0,0,0,0.00%
129,130.0,BCAP,MNC Kapital Indonesia Tbk.,130,121,-9,-6.92%
130,131.0,BCIC,Bank JTrust Indonesia Tbk.,153,156,3,1.96%
131,132.0,BCIC-R,Right Bank Jtrust Indonesia Tbk - 2021,0,0,0,0.00%
132,133.0,BCIC-W1,Warrant Bank CIC International,0,0,0,0.00%
133,134.0,BCIC-W3,Warrant Seri III Bank Century,0,0,0,0.00%
134,135.0,BCIP,Bumi Citra Permai Tbk.,60,58,-2,-3.33%
135,136.0,BDMN,Bank Danamon Indonesia Tbk.,2390,2390,0,0.00%
136,137.0,BEBS,Berkah Beton Sadaya Tbk.,4700,4750,50,1.06%
137,138.0,BEEF,Estika Tata Tiara Tbk.,50,51,1,2.00%
138,139.0,BEEF-W,Waran Seri I Estika Tata Tiara Tbk,0,0,0,0.00%
139,140.0,BEKS,Bank Pembangunan Daerah Banten Tbk.,50,50,0,0.00%
140,141.0,BEKS-R,Right III Bank Pundi Indonesia Tbk,0,0,0,0.00%
141,142.0,BEKS-W,Warrant Seri I Bank Pundi Indonesia Tbk,0,0,0,0.00%
142,143.0,BELL,Trisula Textile Industries Tbk.,362,338,-24,-6.63%
143,144.0,BESS,Batulicin Nusantara Maritim Tbk.,348,352,4,1.15%
144,145.0,BESS-W,Waran Seri I Batulicin Nusantara Maritim Tbk.,208,195,-13,-6.25%
145,146.0,BEST,Bekasi Fajar Industrial Estate Tbk.,118,117,-1,-0.85%
146,147.0,BFIN,BFI Finance Indonesia Tbk.,1000,1100,100,10.00%
147,148.0,BGTG,Bank Ganesha Tbk.,122,118,-4,-3.28%
148,149.0,BHAT,Bhakti Multi Artha Tbk.,995,980,-15,-1.51%
149,150.0,BHIT,MNC Investama Tbk.,59,57,-2,-3.39%
150,151.0,BHIT-R,Right VII MNC Investama Tbk,0,0,0,0.00%
151,152.0,BHIT-W,Warrant Seri I Bhakti Investam,0,0,0,0.00%
152,153.0,BHIT-W3,Waran Seri III Bhakti Investam,0,0,0,0.00%
153,154.0,BIKA,Binakarya Jaya Abadi Tbk.,134,128,-6,-4.48%
154,155.0,BIKE,Sepeda Bersama Indonesia Tbk.,238,238,0,0.00%
155,156.0,BIKE-W,Waran Seri I Sepeda Bersama Indonesia Tbk.,17,16,-1,-5.88%
156,157.0,BIMA,Primarindo Asia Infrastructure Tbk.,244,248,4,1.64%
157,158.0,BINA,Bank Ina Perdana Tbk.,3810,3780,-30,-0.79%
158,159.0,BINA-R,Right III Bank Ina Perdana Tbk,0,0,0,0.00%
159,160.0,BINO,Perma Plasindo Tbk.,134,135,1,0.75%
160,161.0,BINO-W,Waran Seri I Perma Plasindo Tbk.,19,19,0,0.00%
161,162.0,BIPI,Astrindo Nusantara Infrastruktur Tbk.,135,137,2,1.48%
162,163.0,BIPI-W,Waran Seri II Astrindo Nusantara Infrast,2,0,0,0.00%
163,164.0,BIPP,Bhuwanatala Indah Permai Tbk.,51,51,0,0.00%
164,165.0,BIPP-W,Waran Seri IV Bhuwanatala Indah Permai,0,0,0,0.00%
165,166.0,BIPP-W2,Waran Seri IV Bhuwanatala Indah Permai T,0,0,0,0.00%
166,167.0,BIRD,Blue Bird Tbk.,1500,1500,0,0.00%
167,168.0,BISI,BISI International Tbk.,1490,1480,-10,-0.67%
168,169.0,BJBR,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk.,1345,1345,0,0.00%
169,170.0,BJTM,Bank Pembangunan Daerah Jawa Timur Tbk.,730,730,0,0.00%
170,171.0,BKDP,Bukit Darmo Property Tbk,67,65,-2,-2.99%
171,172.0,BKSL,Sentul City Tbk.,51,50,-1,-1.96%
172,173.0,BKSW,Bank QNB Indonesia Tbk.,118,112,-6,-5.08%
173,174.0,BKSW-R,Right VI Bank QNB Indonesia Tbk,0,0,0,0.00%
174,175.0,BKSW-W,Warrant Bank Kesawan Tbk,0,0,0,0.00%
175,176.0,BLTA,Berlian Laju Tanker Tbk,50,50,0,0.00%
176,177.0,BLTZ,Graha Layar Prima Tbk.,2410,2360,-50,-2.07%
177,178.0,BLTZ-R,Right I Graha Layar Prima Tbk,0,0,0,0.00%
178,179.0,BLUE,Berkah Prima Perkasa Tbk.,290,290,0,0.00%
179,180.0,BM05,Benchmark Bond 05,0,0,0,0.00%
180,181.0,BM10,Benchmark Bond 10,0,0,0,0.00%
181,182.0,BMAS,Bank Maspion Indonesia Tbk.,1330,1325,-5,-0.38%
182,183.0,BMHS,Bundamedik Tbk.,570,570,0,0.00%
183,184.0,BMRI,Bank Mandiri (Persero) Tbk.,7425,7275,-150,-2.02%
184,185.0,BMSR,Bintang Mitra Semestaraya Tbk,720,765,45,6.25%
185,186.0,BMTR,Global Mediacom Tbk.,282,278,-4,-1.42%
186,187.0,BNBA,Bank Bumi Arta Tbk.,1650,1635,-15,-0.91%
187,188.0,BNBA-R,Right I Bank Bumi Arta Tbk,0,0,0,0.00%
188,189.0,BNBR,Bakrie & Brothers Tbk,50,50,0,0.00%
189,190.0,BNGA,Bank CIMB Niaga Tbk.,995,990,-5,-0.50%
190,191.0,BNGA-R,Right Bank Niaga,0,0,0,0.00%
191,192.0,BNII,Bank Maybank Indonesia Tbk.,264,264,0,0.00%
192,193.0,BNLI,Bank Permata Tbk.,1170,1170,0,0.00%
193,194.0,BNLI-R,Right IX Bank Permata Tbk,0,0,0,0.00%
194,195.0,BOBA,Formosa Ingredient Factory Tbk.,190,186,-4,-2.11%
195,196.0,BOGA,Bintang Oto Global Tbk.,1310,1315,5,0.38%
196,197.0,BOLA,Bali Bintang Sejahtera Tbk.,266,268,2,0.75%
197,198.0,BOLT,Garuda Metalindo Tbk.,1510,1465,-45,-2.98%
198,199.0,BOSS,Borneo Olah Sarana Sukses Tbk.,52,52,0,0.00%
199,200.0,BPFI,Batavia Prosperindo Finance Tbk.,665,650,-15,-2.26%
200,201.0,BPII,Batavia Prosperindo Internasional Tbk.,7900,0,0,0.00%
201,202.0,BPTR,Batavia Prosperindo Trans Tbk.,186,186,0,0.00%
202,203.0,BRAM,Indo Kordsa Tbk.,11450,11425,-25,-0.22%
203,204.0,BRIS,Bank Syariah Indonesia Tbk.,1520,1415,-105,-6.91%
204,205.0,BRMS,Bumi Resources Minerals Tbk.,232,228,-4,-1.72%
205,206.0,BRMS-R,Right II Bumi Resources Minerals Tbk,0,0,0,0.00%
206,207.0,BRMS-W,Waran Seri II Bumi Resources Minerals Tb,0,0,0,0.00%
207,208.0,BRNA,Berlina Tbk.,960,0,0,0.00%
208,209.0,BRPT,Barito Pacific Tbk.,825,875,50,6.06%
209,210.0,BRPT-W,Waran Seri I Barito Pacific Tbk,0,0,0,0.00%
210,211.0,BSDE,Bumi Serpong Damai Tbk.,915,905,-10,-1.09%
211,212.0,BSIM,Bank Sinarmas Tbk.,580,580,0,0.00%
212,213.0,BSIM-W,Waran Seri II Bank Sinarmas Tbk,0,0,0,0.00%
213,214.0,BSIM-W2,Waran Seri II Bank Sinarmas Tbk,0,0,0,0.00%
214,215.0,BSIM-W3,Waran Seri III Bank Sinarmas Tbk,0,0,0,0.00%
215,216.0,BSML,Bintang Samudera Mandiri Lines Tbk.,1015,1025,10,0.99%
216,217.0,BSSR,Baramulti Suksessarana Tbk.,3460,3410,-50,-1.45%
217,218.0,BSWD,Bank Of India Indonesia Tbk.,1750,0,0,0.00%
218,219.0,BTEK,Bumi Teknokultura Unggul Tbk,50,50,0,0.00%
219,220.0,BTEK-W,Warrant Bumi Teknokultura,0,0,0,0.00%
220,221.0,BTEL,Bakrie Telecom Tbk.,50,0,0,0.00%
221,222.0,BTON,Betonjaya Manunggal Tbk.,300,310,10,3.33%
222,223.0,BTPN,Bank BTPN Tbk.,2470,2440,-30,-1.21%
223,224.0,BTPS,Bank BTPN Syariah Tbk.,2750,2630,-120,-4.36%
224,225.0,BUDI,Budi Starch & Sweetener Tbk.,228,236,8,3.51%
225,226.0,BUKA,Bukalapak.com Tbk.,256,252,-4,-1.56%
226,227.0,BUKK,Bukaka Teknik Utama Tbk.,1010,990,-20,-1.98%
227,228.0,BULL,Buana Lintas Lautan Tbk.,167,168,1,0.60%
228,229.0,BULL-R,Right III Buana Lintas Lautan Tbk,0,0,0,0.00%
229,230.0,BULL-W,Warrant seri II Buana Listya Tama,0,0,0,0.00%
230,231.0,BULL-W2,Waran Seri IV Buana Lintas Lautan Tbk,4,0,0,0.00%
231,232.0,BULL-W3,Waran Seri IV Buana Lintas Lautan Tbk,0,0,0,0.00%
232,233.0,BUMI,Bumi Resources Tbk.,79,75,-4,-5.06%
233,234.0,BUMI-R,Right V Bumi Resources Tbk Seri A,0,0,0,0.00%
234,235.0,BUMI-R2,Right V Bumi Resources Tbk Seri B,0,0,0,0.00%
235,236.0,BUVA,Bukit Uluwatu Villa Tbk.,60,0,0,0.00%
236,237.0,BVIC,Bank Victoria International Tbk.,136,131,-5,-3.68%
237,238.0,BWPT,Eagle High Plantations Tbk.,67,66,-1,-1.49%
238,239.0,BYAN,Bayan Resources Tbk.,72000,71000,-1000,-1.39%
239,240.0,CAKK,Cahayaputra Asa Keramik Tbk.,140,142,2,1.43%
240,241.0,CAMP,Campina Ice Cream Industry Tbk.,276,280,4,1.45%
241,242.0,CANI,Capitol Nusantara Indonesia Tbk.,109,104,-5,-4.59%
242,243.0,CARE,Metro Healthcare Indonesia Tbk.,492,492,0,0.00%
243,244.0,CARS,Industri dan Perdagangan Bintraco Dharma Tbk.,50,50,0,0.00%
244,245.0,CASA,Capital Financial Indonesia Tbk.,735,735,0,0.00%
245,246.0,CASA-W,Waran I Capital Financial Indonesia Tbk,0,0,0,0.00%
246,247.0,CASH,Cashlez Worldwide Indonesia Tbk.,178,174,-4,-2.25%
247,248.0,CASH-W,Waran Seri I Cashlez Worldwide Indonesia,0,0,0,0.00%
248,249.0,CASS,Cardig Aero Services Tbk.,396,372,-24,-6.06%
249,250.0,CBMF,Cahaya Bintang Medan Tbk.,51,50,-1,-1.96%
250,251.0,CCSI,Communication Cable Systems Indonesia Tbk.,710,695,-15,-2.11%
251,252.0,CEKA,Wilmar Cahaya Indonesia Tbk.,2270,2290,20,0.88%
252,253.0,CENT,Centratama Telekomunikasi Indonesia Tbk.,169,167,-2,-1.18%
253,254.0,CENT-R,Right I Centrin Online Tbk,0,0,0,0.00%
254,255.0,CFIN,Clipan Finance Indonesia Tbk.,276,282,6,2.17%
255,256.0,CFIN-R,Right IV Clipan Finance Indonesia Tbk,0,0,0,0.00%
256,257.0,CFIN-W2,Waran Seri II Clipan Finance,0,0,0,0.00%
257,258.0,CFIN-W3,Waran Seri III Clipan Finance,0,0,0,0.00%
258,259.0,CHEM,Chemstar Indonesia Tbk.,135,126,-9,-6.67%
259,260.0,CHEM-W,Waran Seri I Chemstar Indonesia Tbk.,10,10,0,0.00%
260,261.0,CINT,Chitose Internasional Tbk.,234,236,2,0.85%
261,262.0,CITA,Cita Mineral Investindo Tbk.,2950,2970,20,0.68%
262,263.0,CITA-R,Right III Cita Mineral Investindo Tbk,0,0,0,0.00%
263,264.0,CITA-W,Warrant Seri I Cipta Panelutam,0,0,0,0.00%
264,265.0,CITY,Natura City Developments Tbk.,146,146,0,0.00%
265,266.0,CITY-W,Waran Seri I Natura City Developments Tb,58,0,0,0.00%
266,267.0,CLAY,Citra Putra Realty Tbk.,690,735,45,6.52%
267,268.0,CLEO,Sariguna Primatirta Tbk.,470,476,6,1.28%
268,269.0,CLPI,Colorpak Indonesia Tbk.,1110,1115,5,0.45%
269,270.0,CLPI-W,Warrant Colorpak Indonesia Tbk,0,0,0,0.00%
270,271.0,CMNP,Citra Marga Nusaphala Persada Tbk.,1975,1980,5,0.25%
271,272.0,CMNP-R,Right II Citra Marga Nushapala P. Tbk,0,0,0,0.00%
272,273.0,CMNP-W,Waran Seri I Citra Marga Nusaphala Persada Tbk.,960,0,0,0.00%
273,274.0,CMNT,Cemindo Gemilang Tbk.,1010,1000,-10,-0.99%
274,275.0,CMPP,AirAsia Indonesia Tbk.,274,300,26,9.49%
275,276.0,CMRY,Cisarua Mountain Dairy Tbk.,3960,3910,-50,-1.26%
276,277.0,CNKO,Exploitasi Energi Indonesia Tbk.,50,50,0,0.00%
277,278.0,CNKO-W,Warrant Central Korporindo Int,0,0,0,0.00%
278,279.0,CNKO-W2,Warrant Seri II Central Korpor,0,0,0,0.00%
279,280.0,CNTB,Saham Seri B ( Centex Tbk ),250,0,0,0.00%
280,281.0,CNTX,Century Textile Industry Tbk.,268,260,-8,-2.99%
